id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 19:44:45 +0000 2019,521479207,"@leogance Recuerdo una vez al nuestro perdido en el metro... al final an�cdota, pero mientras se pasa mal; en gener� https://t.co/YCqM8h4ui7",es,None,None,None,1a27537478dd8e38,None,ES,0,1,metro,41.3851,2.1734,3,NEG,0.488
Tue Feb 19 18:42:26 +0000 2019,1050066736295370753,Pourtant on prend quand m�me le m�tro.. https://t.co/d8VE482c8M,fr,None,None,None,1a27537478dd8e38,None,ES,0,0,metro,41.3851,2.1734,3,NEG,0.063
Tue Feb 19 16:25:39 +0000 2019,743073891288002561,"Despr�s dir� @TMB_Barcelona que tot �s accessible i va perfecte ""Els bombers treuen del metro una dona amb cadira d� https://t.co/kzN2C8qKW6",ca,None,None,None,1a27537478dd8e38,None,ES,3,4,metro,41.3851,2.1734,3,POS,0.86
Tue Feb 19 14:14:02 +0000 2019,1101958118,Res com anar en un metro mig buit,ca,None,None,None,1a27537478dd8e38,None,ES,0,5,metro,41.3851,2.1734,3,NEG,0.012
Tue Feb 19 13:07:49 +0000 2019,353069715,no te sientes a mi lado en el metro si hueles excesivamente b-i-e-n,es,None,None,None,1a27537478dd8e38,None,ES,0,0,metro,41.3851,2.1734,3,NEG,0.221
Mon Feb 18 16:46:58 +0000 2019,133995336,I'm at METRO Girona in Barcelona https://t.co/Cjj1KablKe,en,Point,41.39492579,2.1709041,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.111
Mon Feb 18 13:17:18 +0000 2019,76740165,Pois... Estava demasiado K.O. e uns amigos de Barcelona desafiaram me a voltar ao Twitter.  - Aceito Aulas de Twitter� https://t.co/4bsRPlLL3w,pt,None,None,None,07d9c97bbec88003,None,ES,0,1,metro,41.395144,2.186671,2,NEG,0.134
Sun Feb 17 22:01:13 +0000 2019,133995336,I'm at METRO Gl�ries in Barcelona https://t.co/pUgQQ92zWT,ca,Point,41.40294851,2.18819015,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.219
Sun Feb 17 17:01:41 +0000 2019,133995336,I'm at METRO Marina - @tmb_barcelona in Barcelona https://t.co/A9f9DbB5bS,en,Point,41.39515118,2.18689201,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.418
Sun Feb 17 13:26:30 +0000 2019,133995336,I'm at METRO Catalunya - @tmb_barcelona in Barcelona https://t.co/XzFSEK7UQ1,ca,Point,41.38683895,2.16997147,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.174
Sat Feb 16 19:17:47 +0000 2019,133995336,I'm at METRO Gl�ries in Barcelona https://t.co/zE245enyhK,ca,Point,41.40294851,2.18819015,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.219
Fri Feb 15 23:36:12 +0000 2019,133995336,I'm at METRO Gl�ries in Barcelona https://t.co/pgSgXvFZEj,ca,Point,41.40294851,2.18819015,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.219
Fri Feb 15 21:47:06 +0000 2019,133995336,I'm at METRO Gl�ries in Barcelona https://t.co/KIq5S4aNdq,ca,Point,41.40294851,2.18819015,1a27537478dd8e38,None,ES,0,0,metro,41.395144,2.186671,2,NEG,0.219
